0 0 0 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 0 0 0 
0 0 0 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 0 0 0 
0 0 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 0 0 
0 2 1 1 2 2 2 2 2 2 2 2 2 1 1 2 2 2 1 1 2 0 
2 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 1 2 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 1 
1 1 1 1 2 2 2 2 2 1 1 1 1 1 2 1 1 1 1 2 1 1 
1 1 1 2 1 1 1 1 1 2 1 1 1 2 1 1 2 2 1 2 1 1 
1 1 2 1 1 1 1 0 0 0 0 0 0 0 0 1 2 2 1 2 1 1 
1 1 2 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 2 1 1 
1 1 2 1 2 2 1 0 0 0 0 0 0 0 0 1 1 1 1 2 1 1 
1 1 2 1 2 2 1 1 2 1 1 1 2 1 1 1 1 1 2 1 1 1 
1 1 2 1 1 1 1 2 1 1 1 1 1 2 2 2 2 2 1 1 1 1 
1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
0 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 0 
0 0 1 1 2 2 2 1 1 2 2 2 2 2 2 2 2 2 1 1 0 0 
0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 
黑坑坑，没下限
见神坑神
见佛坑佛
元芳
王成1号
赵祖威2号
