0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 
0 0 0 1 1 1 1 2 2 2 2 2 2 2 2 1 1 1 1 0 0 0 
0 0 1 1 1 2 2 1 1 1 1 1 1 1 1 2 2 1 1 1 0 0 
0 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 0 
1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 
1 1 1 1 1 1 2 2 1 1 1 1 1 1 2 2 1 1 1 1 1 1 
1 2 1 1 1 1 2 2 1 1 1 1 1 1 2 2 1 1 1 1 2 1 
1 2 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 
1 2 1 2 1 1 1 0 0 0 0 0 0 0 0 1 1 1 2 1 2 1 
1 2 1 2 1 1 1 0 0 0 0 0 0 0 0 1 1 1 2 1 2 1 
1 2 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 2 1 
1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 
1 2 1 1 2 2 1 1 2 1 1 1 1 2 1 1 2 2 1 1 2 1 
1 1 2 1 1 2 2 1 1 2 2 2 2 1 1 2 2 1 1 2 1 1 
0 1 1 2 1 1 2 2 1 1 1 1 1 1 2 2 1 1 2 1 1 0 
0 0 1 1 2 1 1 1 2 2 2 2 2 2 1 1 1 2 1 1 0 0 
0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 
tmplast
last1
last2
dragoncat
—ßΩ„3.1
—ß√√3.1
